"id","title","authors","venue","year", "source"
conf/vldb/RusinkiewiczKTWM95,Towards a Cooperative Transaction Model - The Cooperative Activity Model,"M Rusinkiewicz, W Klas, T Tesch, J Wδsch, P Muth",VLDB,1995,dblp
journals/sigmod/EisenbergM02,SQL/XML is Making Good Progress,"A Eisenberg, J Melton",SIGMOD Record,2002,dblp
conf/vldb/AmmannJR95,Using Formal Methods to Reason about Semantics-Based Decompositions of Transactions,"P Ammann, S Jajodia, I Ray",VLDB,1995,dblp
conf/sigmod/AbadiCCCCEGHMRSSTXYZ03,Aurora: A Data Stream Management System,"D Abadi, D Carney, U Ηetintemel, M Cherniack, C Convey, C Erwin, E Galvez, M Hatoun, A Maskey, A Rasin, A Singer, M Stonebraker, N Tatbul, Y Xing, R Yan, S Zdonik",SIGMOD Conference,2003,dblp
019zSr3Lx4EJ,Towards a cooperative activity model-the coopertive activity model,"M Rusinkiewicz, W Klas, T Tesch, J Wasch, P Muth","Proceedings of the 21st International Conference on Very  &hellip;,",,scholar
iWNLOYCQX-YJ,"W asch, J., Muth, P.: Towards a cooperative transaction model-The cooperative activity model","M Rusinkiewicz, W Klas, T Tesch",Proc. ofthe 21 stInternational Conference on Very Large ,,scholar
KureLsKbUXYJ,Towaxds a cooperative transaction model--The cooperative activity model,"M Rnsinkiewicz, W Klasâ?¦","Proc. Int. Conf. Very Large Data Bases, Dayal U, Gray P,  &hellip;,",,scholar
T2fm7Wb1ak4J,Towards a Cooperative Transaction Model-The Cooperative Activity Model,"M Rusinkiewicz, W Klas, T Tesch, J Waesch, P Muth","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1995,scholar
wgK6p4mDSIMJ,SQL/XML is Making Good Progress,"A Eisenberg, J Melton","SIGMOD Record,",2002,scholar
x-H7BqZ0Hw8J,Using Formal Methods to Reason about Semantics-Based Decompositions of Transactions,"P Ammann, S Jajodia, I Ray","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1995,scholar
eBnT7lhV2LwJ,Aurora: A Data Stream Management System (demo description),"D Abadi, D Carney, U Cetintemel, M Cherniack, C  ",Proceedings of the 2003 ACM SIGMOD Conference on Management ,,scholar
gBVNSFeS4P8J,Aurora: a new model and architecture for data stream management,"DJ Abadi, D Carney, U Ã?etintemel, M Cherniack, C  ","The VLDB Journal The International Journal on Very Large  &hellip;,",2003,scholar
VuY9Y49GqXgJ,Aurora: A Data Stream Management System,"DJ Abadi, D Carney, U Cetintemel, M Cherniack, C  ",,,scholar
